block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
0,2004-06-30,0.003,1,dtr,dtr,0.34909242391586304,0.0,0.0,0.0,332
1,2004-07-14,0.003,1,dtr,dtr,0.45924675464630127,0.589765727519989,0.06543087214231491,0.02275840237365175,213
2,2004-07-31,0.003,1,dtr,dtr,1.1838462352752686,2.501310348510742,0.06193666160106659,0.3875100344141794,195
3,2004-08-11,0.003,1,dtr,dtr,1.0083979368209839,1.4069782495498657,0.008251548744738102,0.016334665182508496,220
4,2004-08-25,0.003,1,dtr,dtr,0.433977335691452,1.578414797782898,0.1763216108083725,0.4392864752041446,166
5,2004-09-08,0.003,1,dtr,dtr,0.3766462206840515,1.030644178390503,0.17941978573799133,0.19058461654103995,237
6,2004-09-22,0.003,1,dtr,dtr,0.22682732343673706,1.0603092908859253,0.05776457116007805,0.06494215371869688,201
7,2004-10-07,0.003,1,dtr,dtr,0.2117808759212494,2.3673222064971924,0.006342437583953142,0.03554438022539883,116
8,2004-10-20,0.003,1,dtr,dtr,0.2556191086769104,0.7426848411560059,0.27224376797676086,0.15016442806207805,322
9,2004-11-03,0.003,1,dtr,dtr,0.25278329849243164,4.305335521697998,0.04488718509674072,0.8320250006081684,305
10,2004-11-17,0.003,1,dtr,dtr,0.8903359174728394,1.8594954013824463,0.22717885673046112,0.785521591599128,328
11,2004-12-01,0.003,1,dtr,dtr,0.3122456669807434,1.149946928024292,0.2434236854314804,0.3218981110241525,307
12,2004-12-17,0.003,1,dtr,dtr,0.7466968297958374,1.5976122617721558,0.009700010530650616,0.024757966786021424,237
13,2005-01-01,0.003,1,dtr,dtr,0.29661816358566284,1.4250354766845703,0.07097698003053665,0.14413480654344682,224
14,2005-01-12,0.003,1,dtr,dtr,0.834711492061615,1.3407779932022095,0.007823609746992588,0.014064390793858673,279
15,2005-01-26,0.003,1,dtr,dtr,0.1946360021829605,2.018606662750244,0.09650994837284088,0.39325611824346113,296
16,2005-02-11,0.003,1,dtr,dtr,0.1839548945426941,1.3082793951034546,0.06112101301550865,0.10461441878412106,281
17,2005-02-23,0.003,1,dtr,dtr,0.2152976393699646,0.8407312631607056,0.0782805010676384,0.05533093273983795,331
18,2005-03-09,0.003,1,dtr,dtr,0.43237560987472534,2.808095932006836,0.03400517255067825,0.26814448159942544,320
19,2005-03-23,0.003,1,dtr,dtr,0.1916140615940094,1.157148838043213,0.14339640736579895,0.1920068478337705,281
0,2004-06-30,0.08,1,isotropic,isotropic,0.17096753418445587,0.0,0.0,0.0,332
1,2004-07-14,0.08,1,isotropic,isotropic,0.2555268406867981,0.589765727519989,0.04878408461809158,0.016968256586187135,213
2,2004-07-31,0.08,1,isotropic,isotropic,0.4388136565685272,2.501310348510742,0.0318598672747612,0.19933296281925042,195
3,2004-08-11,0.08,1,isotropic,isotropic,0.36722230911254883,1.4069782495498657,0.008000980131328106,0.015838642613665563,220
4,2004-08-25,0.08,1,isotropic,isotropic,0.3105314373970032,1.578414797782898,0.09950224310159683,0.2478992191973036,166
5,2004-09-08,0.08,1,isotropic,isotropic,0.4455006420612335,1.030644178390503,0.1010468453168869,0.10733473004768436,237
6,2004-09-22,0.08,1,isotropic,isotropic,0.2915145456790924,1.0603092908859253,0.019498102366924286,0.02192085452563366,201
7,2004-10-07,0.08,1,isotropic,isotropic,0.21256393194198608,2.3673222064971924,0.005667941179126501,0.03176435774090799,116
8,2004-10-20,0.08,1,isotropic,isotropic,0.3875695765018463,0.7426848411560059,0.16534380614757538,0.09120046445242112,322
9,2004-11-03,0.08,1,isotropic,isotropic,0.3452896773815155,4.305335521697998,0.023778824135661125,0.4407622381152955,305
10,2004-11-17,0.08,1,isotropic,isotropic,1.0817111730575562,1.8594954013824463,0.16309912502765656,0.5639516199879324,328
11,2004-12-01,0.08,1,isotropic,isotropic,0.4895424246788025,1.149946928024292,0.16523584723472595,0.21850423882973186,307
12,2004-12-17,0.08,1,isotropic,isotropic,1.2229650020599365,1.5976122617721558,0.0032203253358602524,0.008219445479309568,237
13,2005-01-01,0.08,1,isotropic,isotropic,0.25247621536254883,1.4250354766845703,0.049473464488983154,0.10046705608051716,224
14,2005-01-12,0.08,1,isotropic,isotropic,0.7020719051361084,1.3407779932022095,0.004304873291403055,0.007738808842249704,279
